raw_class,instances,image_files,label_files,data1_instances,data1_image_files,data1_label_files,data2_instances,data2_image_files,data2_label_files,data3_instances,data3_image_files,data3_label_files,data4_instances,data4_image_files,data4_label_files,data5_instances,data5_image_files,data5_label_files,data6_std_instances,data6_std_image_files,data6_std_label_files,action,final_class,note
BoltHead,28726,5999,5999,9737,2668,2668,16966,2843,2843,841,168,168,0,0,0,1182,320,320,0,0,0,keep,BoltHead,
BoltNut,10212,3766,3766,2960,1488,1488,5845,1864,1864,313,94,94,0,0,0,1094,320,320,0,0,0,keep,BoltNut,
CotterPin,2881,1528,1528,173,89,89,2269,1179,1179,83,48,48,0,0,0,356,212,212,0,0,0,hold,CotterPin_k,data1_drop
BoltNut_g,1628,498,498,779,206,206,541,181,181,133,25,25,0,0,0,175,86,86,0,0,0,remap,BoltNut,
BoltNut_z,1343,457,457,400,117,117,870,308,308,73,32,32,0,0,0,0,0,0,0,0,0,keep,BoltNut_z,
Clamp,978,558,558,269,194,194,496,255,255,16,8,8,0,0,0,197,101,101,0,0,0,Keep,Clamp,
StopWasher,825,267,267,0,0,0,825,267,267,0,0,0,0,0,0,0,0,0,0,0,0,keep,StopWasher,
abnormal,633,332,333,633,332,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,keep,abnormal,
LockSpring,550,517,517,167,167,167,364,332,332,19,18,18,0,0,0,0,0,0,0,0,0,keep,LockSpring,
IronWire_c,519,159,159,0,0,0,519,159,159,0,0,0,0,0,0,0,0,0,0,0,0,remap,IronWire,
SteelCable,503,500,500,0,0,0,481,481,481,22,19,19,0,0,0,0,0,0,0,0,0,keep,SteelCable,
PullTab,407,407,407,0,0,0,79,79,79,8,8,8,0,0,0,320,320,320,0,0,0,keep,PullTab,
IronWire,406,406,406,0,0,0,80,80,80,11,11,11,0,0,0,315,315,315,0,0,0,keep,IronWire,
BrakePad,395,393,393,145,143,143,237,237,237,13,13,13,0,0,0,0,0,0,0,0,0,keep,BrakePad,
Nozzle,386,382,382,221,217,217,160,160,160,5,5,5,0,0,0,0,0,0,0,0,0,keep,Nozzle,
Clamp_2,346,346,346,0,0,0,242,242,242,8,8,8,0,0,0,96,96,96,0,0,0,drop,,
BoltHead_1_s,333,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,68,68,remap,BoltHead,
StoneSweeper,263,263,263,175,175,175,80,80,80,8,8,8,0,0,0,0,0,0,0,0,0,keep,StoneSweeper,
BoltHead_1,254,61,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,61,61,remap,BoltHead,
IronWire_f,240,80,80,0,0,0,240,80,80,0,0,0,0,0,0,0,0,0,0,0,0,remap,IronWire,
BoltHead_f,230,46,46,230,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,remap,BoltHead,
IronWire_b,222,222,222,0,0,0,222,222,222,0,0,0,0,0,0,0,0,0,0,0,0,remap,IronWire,
IronWire_y,220,220,220,0,0,0,220,220,220,0,0,0,0,0,0,0,0,0,0,0,0,remap,IronWire,
BoltNut_1,217,79,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,79,79,remap,BoltNut,
Spring,201,186,186,201,186,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,keep,Spring,
IronSheet,199,117,117,0,0,0,195,115,115,4,2,2,0,0,0,0,0,0,0,0,0,hold,IronSheet,
FuelGauge,174,174,174,0,0,0,160,160,160,14,14,14,0,0,0,0,0,0,0,0,0,keep,FuelGauge,
IronWire_z,169,169,169,0,0,0,153,153,153,16,16,16,0,0,0,0,0,0,0,0,0,remap,IronWire,
IronChain,150,105,105,0,0,0,150,105,105,0,0,0,0,0,0,0,0,0,0,0,0,keep,IronChain,
OilDamper,140,140,140,140,140,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,,
OilPlug,116,114,114,116,114,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,drop,,
OilCap,105,98,98,95,88,88,0,0,0,10,10,10,0,0,0,0,0,0,0,0,0,drop,,
