class_name,instances,label_files,HXD1B标准图_instances,HXD1B标准图_label_files,HXD1D标准图_instances,HXD1D标准图_label_files
BoltHead_1_s,388,91,55,23,333,68
BoltHead_1,343,102,89,41,254,61
BoltNut_1,305,123,88,44,217,79
CotterPin_1,120,78,38,25,82,53
IronWire_1,50,26,2,2,48,24
Clamp_1,37,19,14,7,23,12
BoltHead_1_s_2,27,17,0,0,27,17
CotterPin_k_1,26,24,26,24,0,0
Nozzle_1,16,16,8,8,8,8
BrakePad_1,14,14,4,4,10,10
FuelGauge_1,12,12,6,6,6,6
LockSpring_1,10,10,0,0,10,10
RubberSleeve_1,10,4,10,4,0,0
StoneSweeper_1,9,9,5,5,4,4
JunctionBox_1,6,6,6,6,0,0
CableTie_1,3,2,3,2,0,0
IronChain_1,2,2,0,0,2,2
