class_name,instances,label_files,data1_instances,data1_label_files,data2_instances,data2_label_files,data3_instances,data3_label_files,data4_instances,data4_label_files,data5_instances,data5_label_files,data6_std_instances,data6_std_label_files
BoltHead,28956,6038,9967,2707,16966,2843,841,168,0,0,1182,320,0,0
BoltNut,11840,3838,3739,1539,6386,1879,446,100,0,0,1269,320,0,0
CotterPin_k,2332,1237,63,58,2269,1179,0,0,0,0,0,0,0,0
IronWire,1877,1089,87,80,1434,654,41,40,0,0,315,315,0,0
BoltNut_z,1343,457,400,117,870,308,73,32,0,0,0,0,0,0
Clamp,1324,558,269,194,738,255,24,8,0,0,293,101,0,0
StopWasher,825,267,0,0,825,267,0,0,0,0,0,0,0,0
abnormal,633,333,633,333,0,0,0,0,0,0,0,0,0,0
CotterPin,613,350,174,90,0,0,83,48,0,0,356,212,0,0
LockSpring,558,525,175,175,364,332,19,18,0,0,0,0,0,0
SteelCable,503,500,0,0,481,481,22,19,0,0,0,0,0,0
PullTab,407,407,0,0,79,79,8,8,0,0,320,320,0,0
BrakePad,395,393,145,143,237,237,13,13,0,0,0,0,0,0
Nozzle,386,382,221,217,160,160,5,5,0,0,0,0,0,0
BoltHead_1_s,333,68,0,0,0,0,0,0,0,0,0,0,333,68
StoneSweeper,265,265,177,177,80,80,8,8,0,0,0,0,0,0
Spring,260,240,260,240,0,0,0,0,0,0,0,0,0,0
BoltHead_1,254,61,0,0,0,0,0,0,0,0,0,0,254,61
BoltNut_1,217,79,0,0,0,0,0,0,0,0,0,0,217,79
IronSheet,199,117,0,0,195,115,4,2,0,0,0,0,0,0
FuelGauge,174,174,0,0,160,160,14,14,0,0,0,0,0,0
IronChain,150,105,0,0,150,105,0,0,0,0,0,0,0,0
OilDamper,140,140,140,140,0,0,0,0,0,0,0,0,0,0
OilCap,105,98,95,88,0,0,10,10,0,0,0,0,0,0
Sander,101,101,101,101,0,0,0,0,0,0,0,0,0,0
CotterPin_1,82,53,0,0,0,0,0,0,0,0,0,0,82,53
BrakeClamp,70,70,70,70,0,0,0,0,0,0,0,0,0,0
crack,70,53,70,53,0,0,0,0,0,0,0,0,0,0
AxleBox,62,62,62,62,0,0,0,0,0,0,0,0,0,0
SandBoxCover,57,56,57,56,0,0,0,0,0,0,0,0,0,0
Valve,53,53,0,0,53,53,0,0,0,0,0,0,0,0
oilLeak,51,39,0,0,0,0,0,0,51,39,0,0,0,0
IronWire_1,48,24,0,0,0,0,0,0,0,0,0,0,48,24
AutomaticSplittingPhase,35,35,35,35,0,0,0,0,0,0,0,0,0,0
BrakeCylinder,34,34,34,34,0,0,0,0,0,0,0,0,0,0
WareHouseSocket,31,31,31,31,0,0,0,0,0,0,0,0,0,0
PortableLightSocket,29,29,29,29,0,0,0,0,0,0,0,0,0,0
BoltHead_1_s_2,27,17,0,0,0,0,0,0,0,0,0,0,27,17
AirOutletBlocker,23,23,23,23,0,0,0,0,0,0,0,0,0,0
Clamp_1,23,12,0,0,0,0,0,0,0,0,0,0,23,12
LiftingWireRope,23,23,23,23,0,0,0,0,0,0,0,0,0,0
Pedal,21,21,21,21,0,0,0,0,0,0,0,0,0,0
TractionRodFlange,21,21,21,21,0,0,0,0,0,0,0,0,0,0
PrimaryAxleBoxRod,20,20,20,20,0,0,0,0,0,0,0,0,0,0
CommonBrakeCylinder,14,14,14,14,0,0,0,0,0,0,0,0,0,0
IndicatorPatch,14,7,14,7,0,0,0,0,0,0,0,0,0,0
Boot,13,13,13,13,0,0,0,0,0,0,0,0,0,0
TractionMotorWire,13,13,13,13,0,0,0,0,0,0,0,0,0,0
BrakePad_1,10,10,0,0,0,0,0,0,0,0,0,0,10,10
LockSpring_1,10,10,0,0,0,0,0,0,0,0,0,0,10,10
PhotoelectricSensor,9,9,9,9,0,0,0,0,0,0,0,0,0,0
WireRope,9,9,9,9,0,0,0,0,0,0,0,0,0,0
Nozzle_1,8,8,0,0,0,0,0,0,0,0,0,0,8,8
VehicleNumberRecognitionDevice,8,8,8,8,0,0,0,0,0,0,0,0,0,0
ParkingBrakeSign,7,7,7,7,0,0,0,0,0,0,0,0,0,0
FuelGauge_1,6,6,0,0,0,0,0,0,0,0,0,0,6,6
SandBoxBottom,6,6,6,6,0,0,0,0,0,0,0,0,0,0
StoneSweeper_1,4,4,0,0,0,0,0,0,0,0,0,0,4,4
VerticalStop,4,4,4,4,0,0,0,0,0,0,0,0,0,0
IronChain_1,2,2,0,0,0,0,0,0,0,0,0,0,2,2
Transform,2,2,2,2,0,0,0,0,0,0,0,0,0,0
