class_name,instances,label_files,data1_instances,data1_label_files,data2_instances,data2_label_files,data3_instances,data3_label_files,data4_instances,data4_label_files,data5_instances,data5_label_files,data6_std_instances,data6_std_label_files
BoltHead,28726,5999,9737,2668,16966,2843,841,168,0,0,1182,320,0,0
BoltNut,10212,3766,2960,1488,5845,1864,313,94,0,0,1094,320,0,0
CotterPin,2881,1528,173,89,2269,1179,83,48,0,0,356,212,0,0
BoltNut_g,1628,498,779,206,541,181,133,25,0,0,175,86,0,0
BoltNut_z,1343,457,400,117,870,308,73,32,0,0,0,0,0,0
Clamp,978,558,269,194,496,255,16,8,0,0,197,101,0,0
StopWasher,825,267,0,0,825,267,0,0,0,0,0,0,0,0
abnormal,633,333,633,333,0,0,0,0,0,0,0,0,0,0
LockSpring,550,517,167,167,364,332,19,18,0,0,0,0,0,0
IronWire_c,519,159,0,0,519,159,0,0,0,0,0,0,0,0
SteelCable,503,500,0,0,481,481,22,19,0,0,0,0,0,0
PullTab,407,407,0,0,79,79,8,8,0,0,320,320,0,0
IronWire,406,406,0,0,80,80,11,11,0,0,315,315,0,0
BrakePad,395,393,145,143,237,237,13,13,0,0,0,0,0,0
Nozzle,386,382,221,217,160,160,5,5,0,0,0,0,0,0
Clamp_2,346,346,0,0,242,242,8,8,0,0,96,96,0,0
BoltHead_1_s,333,68,0,0,0,0,0,0,0,0,0,0,333,68
StoneSweeper,263,263,175,175,80,80,8,8,0,0,0,0,0,0
BoltHead_1,254,61,0,0,0,0,0,0,0,0,0,0,254,61
IronWire_f,240,80,0,0,240,80,0,0,0,0,0,0,0,0
BoltHead_f,230,46,230,46,0,0,0,0,0,0,0,0,0,0
IronWire_b,222,222,0,0,222,222,0,0,0,0,0,0,0,0
IronWire_y,220,220,0,0,220,220,0,0,0,0,0,0,0,0
BoltNut_1,217,79,0,0,0,0,0,0,0,0,0,0,217,79
Spring,201,186,201,186,0,0,0,0,0,0,0,0,0,0
IronSheet,199,117,0,0,195,115,4,2,0,0,0,0,0,0
FuelGauge,174,174,0,0,160,160,14,14,0,0,0,0,0,0
IronWire_z,169,169,0,0,153,153,16,16,0,0,0,0,0,0
IronChain,150,105,0,0,150,105,0,0,0,0,0,0,0,0
OilDamper,140,140,140,140,0,0,0,0,0,0,0,0,0,0
OilPlug,116,114,116,114,0,0,0,0,0,0,0,0,0,0
OilCap,105,98,95,88,0,0,10,10,0,0,0,0,0,0
LockingWire,101,94,87,80,0,0,14,14,0,0,0,0,0,0
Sander,101,101,101,101,0,0,0,0,0,0,0,0,0,0
CotterPin_1,82,53,0,0,0,0,0,0,0,0,0,0,82,53
BrakeClamp,70,70,70,70,0,0,0,0,0,0,0,0,0,0
crack,70,53,70,53,0,0,0,0,0,0,0,0,0,0
CotterPin_k,63,58,63,58,0,0,0,0,0,0,0,0,0,0
AxleBox,62,62,62,62,0,0,0,0,0,0,0,0,0,0
PrimarySuspension,59,54,59,54,0,0,0,0,0,0,0,0,0,0
SandBoxCover,57,56,57,56,0,0,0,0,0,0,0,0,0,0
Valve,53,53,0,0,53,53,0,0,0,0,0,0,0,0
oilLeak,51,39,0,0,0,0,0,0,51,39,0,0,0,0
IronWire_1,48,24,0,0,0,0,0,0,0,0,0,0,48,24
AutomaticSplittingPhase,35,35,35,35,0,0,0,0,0,0,0,0,0,0
BrakeCylinder,34,34,34,34,0,0,0,0,0,0,0,0,0,0
BoltHead_1_s_2,27,17,0,0,0,0,0,0,0,0,0,0,27,17
WareHouseSocket,26,26,26,26,0,0,0,0,0,0,0,0,0,0
PortableLightSocket,24,24,24,24,0,0,0,0,0,0,0,0,0,0
AirOutletBlocker,23,23,23,23,0,0,0,0,0,0,0,0,0,0
Clamp_1,23,12,0,0,0,0,0,0,0,0,0,0,23,12
LiftingWireRope,23,23,23,23,0,0,0,0,0,0,0,0,0,0
Pedal,21,21,21,21,0,0,0,0,0,0,0,0,0,0
TractionRodFlange,21,21,21,21,0,0,0,0,0,0,0,0,0,0
PrimaryAxleBoxRod,20,20,20,20,0,0,0,0,0,0,0,0,0,0
CommonBrakeCylinder,14,14,14,14,0,0,0,0,0,0,0,0,0,0
IndicatorPatch,14,7,14,7,0,0,0,0,0,0,0,0,0,0
Boot,13,13,13,13,0,0,0,0,0,0,0,0,0,0
TractionMotorWire,13,13,13,13,0,0,0,0,0,0,0,0,0,0
BrakePad_1,10,10,0,0,0,0,0,0,0,0,0,0,10,10
LockSpring_1,10,10,0,0,0,0,0,0,0,0,0,0,10,10
PhotoelectricSensor,9,9,9,9,0,0,0,0,0,0,0,0,0,0
WireRope,9,9,9,9,0,0,0,0,0,0,0,0,0,0
LockSping,8,8,8,8,0,0,0,0,0,0,0,0,0,0
Nozzle_1,8,8,0,0,0,0,0,0,0,0,0,0,8,8
VehicleNumberRecognitionDevice,8,8,8,8,0,0,0,0,0,0,0,0,0,0
ParkingBrakeSign,7,7,7,7,0,0,0,0,0,0,0,0,0,0
FuelGauge_1,6,6,0,0,0,0,0,0,0,0,0,0,6,6
SandBoxBottom,6,6,6,6,0,0,0,0,0,0,0,0,0,0
PortableLighterSocket,5,5,5,5,0,0,0,0,0,0,0,0,0,0
WarehouseSocket,5,5,5,5,0,0,0,0,0,0,0,0,0,0
StoneSweeper_1,4,4,0,0,0,0,0,0,0,0,0,0,4,4
VerticalStop,4,4,4,4,0,0,0,0,0,0,0,0,0,0
IronChain_1,2,2,0,0,0,0,0,0,0,0,0,0,2,2
Sweeper,2,2,2,2,0,0,0,0,0,0,0,0,0,0
Transform,2,2,2,2,0,0,0,0,0,0,0,0,0,0
CotternPin,1,1,1,1,0,0,0,0,0,0,0,0,0,0
