class_name,raw_instances,raw_label_files,built_instances,built_image_files,status
BoltHead,28726,5999,11245,3004,present_in_both
BoltNut,10212,3766,5192,1860,present_in_both
CotterPin,2881,1528,564,336,present_in_both
BoltNut_g,1628,498,0,0,raw_only_missing_from_built
BoltNut_z,1343,457,431,136,present_in_both
Clamp,978,558,516,290,present_in_both
StopWasher,825,267,0,0,raw_only_missing_from_built
abnormal,633,333,545,269,present_in_both
LockSpring,550,517,179,178,present_in_both
IronWire_c,519,159,0,0,raw_only_missing_from_built
SteelCable,503,500,22,19,present_in_both
PullTab,407,407,328,328,present_in_both
IronWire,406,406,437,430,present_in_both
BrakePad,395,393,144,143,present_in_both
Nozzle,386,382,213,209,present_in_both
Clamp_2,346,346,0,0,raw_only_missing_from_built
BoltHead_1_s,333,68,333,68,present_in_both
StoneSweeper,263,263,177,177,present_in_both
BoltHead_1,254,61,254,61,present_in_both
IronWire_f,240,80,0,0,raw_only_missing_from_built
BoltHead_f,230,46,0,0,raw_only_missing_from_built
IronWire_b,222,222,0,0,raw_only_missing_from_built
IronWire_y,220,220,0,0,raw_only_missing_from_built
BoltNut_1,217,79,217,79,present_in_both
Spring,201,186,254,237,present_in_both
IronSheet,199,117,4,2,present_in_both
FuelGauge,174,174,14,14,present_in_both
IronWire_z,169,169,0,0,raw_only_missing_from_built
IronChain,150,105,0,0,raw_only_missing_from_built
OilDamper,140,140,140,140,present_in_both
OilPlug,116,114,0,0,raw_only_missing_from_built
OilCap,105,98,94,87,present_in_both
LockingWire,101,94,0,0,raw_only_missing_from_built
Sander,101,101,101,101,present_in_both
CotterPin_1,82,53,82,53,present_in_both
BrakeClamp,70,70,70,70,present_in_both
crack,70,53,70,53,present_in_both
CotterPin_k,63,58,57,52,present_in_both
AxleBox,62,62,61,61,present_in_both
PrimarySuspension,59,54,0,0,raw_only_missing_from_built
SandBoxCover,57,56,57,56,present_in_both
Valve,53,53,0,0,raw_only_missing_from_built
oilLeak,51,39,51,39,present_in_both
IronWire_1,48,24,48,24,present_in_both
AutomaticSplittingPhase,35,35,35,35,present_in_both
BrakeCylinder,34,34,34,34,present_in_both
BoltHead_1_s_2,27,17,27,17,present_in_both
WareHouseSocket,26,26,31,31,present_in_both
PortableLightSocket,24,24,29,29,present_in_both
AirOutletBlocker,23,23,23,23,present_in_both
Clamp_1,23,12,23,12,present_in_both
LiftingWireRope,23,23,23,23,present_in_both
Pedal,21,21,20,20,present_in_both
TractionRodFlange,21,21,21,21,present_in_both
PrimaryAxleBoxRod,20,20,20,20,present_in_both
CommonBrakeCylinder,14,14,14,14,present_in_both
IndicatorPatch,14,7,12,6,present_in_both
Boot,13,13,13,13,present_in_both
TractionMotorWire,13,13,13,13,present_in_both
BrakePad_1,10,10,10,10,present_in_both
LockSpring_1,10,10,10,10,present_in_both
PhotoelectricSensor,9,9,9,9,present_in_both
WireRope,9,9,9,9,present_in_both
LockSping,8,8,0,0,raw_only_missing_from_built
Nozzle_1,8,8,8,8,present_in_both
VehicleNumberRecognitionDevice,8,8,8,8,present_in_both
ParkingBrakeSign,7,7,7,7,present_in_both
FuelGauge_1,6,6,6,6,present_in_both
SandBoxBottom,6,6,6,6,present_in_both
PortableLighterSocket,5,5,0,0,raw_only_missing_from_built
WarehouseSocket,5,5,0,0,raw_only_missing_from_built
StoneSweeper_1,4,4,4,4,present_in_both
VerticalStop,4,4,3,3,present_in_both
IronChain_1,2,2,2,2,present_in_both
Sweeper,2,2,0,0,raw_only_missing_from_built
Transform,2,2,2,2,present_in_both
CotternPin,1,1,0,0,raw_only_missing_from_built
