class_name,normalized_raw_instances,normalized_raw_label_files,built_instances,status
BoltHead,28956,6038,11245,present_in_both
BoltNut,11840,3838,5192,present_in_both
CotterPin_k,2332,1237,57,present_in_both
IronWire,1877,1089,437,present_in_both
BoltNut_z,1343,457,431,present_in_both
Clamp,1324,558,516,present_in_both
StopWasher,825,267,0,normalized_raw_only_missing_from_built
abnormal,633,333,545,present_in_both
CotterPin,613,350,564,present_in_both
LockSpring,558,525,179,present_in_both
SteelCable,503,500,22,present_in_both
PullTab,407,407,328,present_in_both
BrakePad,395,393,144,present_in_both
Nozzle,386,382,213,present_in_both
BoltHead_1_s,333,68,333,present_in_both
StoneSweeper,265,265,177,present_in_both
Spring,260,240,254,present_in_both
BoltHead_1,254,61,254,present_in_both
BoltNut_1,217,79,217,present_in_both
IronSheet,199,117,4,present_in_both
FuelGauge,174,174,14,present_in_both
IronChain,150,105,0,normalized_raw_only_missing_from_built
OilDamper,140,140,140,present_in_both
OilCap,105,98,94,present_in_both
Sander,101,101,101,present_in_both
CotterPin_1,82,53,82,present_in_both
BrakeClamp,70,70,70,present_in_both
crack,70,53,70,present_in_both
AxleBox,62,62,61,present_in_both
SandBoxCover,57,56,57,present_in_both
Valve,53,53,0,normalized_raw_only_missing_from_built
oilLeak,51,39,51,present_in_both
IronWire_1,48,24,48,present_in_both
AutomaticSplittingPhase,35,35,35,present_in_both
BrakeCylinder,34,34,34,present_in_both
WareHouseSocket,31,31,31,present_in_both
PortableLightSocket,29,29,29,present_in_both
BoltHead_1_s_2,27,17,27,present_in_both
AirOutletBlocker,23,23,23,present_in_both
Clamp_1,23,12,23,present_in_both
LiftingWireRope,23,23,23,present_in_both
Pedal,21,21,20,present_in_both
TractionRodFlange,21,21,21,present_in_both
PrimaryAxleBoxRod,20,20,20,present_in_both
CommonBrakeCylinder,14,14,14,present_in_both
IndicatorPatch,14,7,12,present_in_both
Boot,13,13,13,present_in_both
TractionMotorWire,13,13,13,present_in_both
BrakePad_1,10,10,10,present_in_both
LockSpring_1,10,10,10,present_in_both
PhotoelectricSensor,9,9,9,present_in_both
WireRope,9,9,9,present_in_both
Nozzle_1,8,8,8,present_in_both
VehicleNumberRecognitionDevice,8,8,8,present_in_both
ParkingBrakeSign,7,7,7,present_in_both
FuelGauge_1,6,6,6,present_in_both
SandBoxBottom,6,6,6,present_in_both
StoneSweeper_1,4,4,4,present_in_both
VerticalStop,4,4,3,present_in_both
IronChain_1,2,2,2,present_in_both
Transform,2,2,2,present_in_both
