class_name,instances,image_files,data1_instances,data1_image_files,data2_instances,data2_image_files,data3_instances,data3_image_files,data4_instances,data4_image_files,data5_instances,data5_image_files,data6_std_instances,data6_std_image_files
BoltHead,11245,3004,9222,2516,0,0,841,168,0,0,1182,320,0,0
BoltNut,5192,1860,3477,1440,0,0,446,100,0,0,1269,320,0,0
CotterPin,564,336,125,76,0,0,83,48,0,0,356,212,0,0
abnormal,545,269,545,269,0,0,0,0,0,0,0,0,0,0
Clamp,516,290,199,181,0,0,24,8,0,0,293,101,0,0
IronWire,437,430,81,75,0,0,41,40,0,0,315,315,0,0
BoltNut_z,431,136,358,104,0,0,73,32,0,0,0,0,0,0
BoltHead_1_s,333,68,0,0,0,0,0,0,0,0,0,0,333,68
PullTab,328,328,0,0,0,0,8,8,0,0,320,320,0,0
BoltHead_1,254,61,0,0,0,0,0,0,0,0,0,0,254,61
Spring,254,237,254,237,0,0,0,0,0,0,0,0,0,0
BoltNut_1,217,79,0,0,0,0,0,0,0,0,0,0,217,79
Nozzle,213,209,208,204,0,0,5,5,0,0,0,0,0,0
LockSpring,179,178,160,160,0,0,19,18,0,0,0,0,0,0
StoneSweeper,177,177,169,169,0,0,8,8,0,0,0,0,0,0
BrakePad,144,143,131,130,0,0,13,13,0,0,0,0,0,0
OilDamper,140,140,140,140,0,0,0,0,0,0,0,0,0,0
Sander,101,101,101,101,0,0,0,0,0,0,0,0,0,0
OilCap,94,87,84,77,0,0,10,10,0,0,0,0,0,0
CotterPin_1,82,53,0,0,0,0,0,0,0,0,0,0,82,53
BrakeClamp,70,70,70,70,0,0,0,0,0,0,0,0,0,0
crack,70,53,70,53,0,0,0,0,0,0,0,0,0,0
AxleBox,61,61,61,61,0,0,0,0,0,0,0,0,0,0
CotterPin_k,57,52,57,52,0,0,0,0,0,0,0,0,0,0
SandBoxCover,57,56,57,56,0,0,0,0,0,0,0,0,0,0
oilLeak,51,39,0,0,0,0,0,0,51,39,0,0,0,0
IronWire_1,48,24,0,0,0,0,0,0,0,0,0,0,48,24
AutomaticSplittingPhase,35,35,35,35,0,0,0,0,0,0,0,0,0,0
BrakeCylinder,34,34,34,34,0,0,0,0,0,0,0,0,0,0
WareHouseSocket,31,31,31,31,0,0,0,0,0,0,0,0,0,0
PortableLightSocket,29,29,29,29,0,0,0,0,0,0,0,0,0,0
BoltHead_1_s_2,27,17,0,0,0,0,0,0,0,0,0,0,27,17
AirOutletBlocker,23,23,23,23,0,0,0,0,0,0,0,0,0,0
Clamp_1,23,12,0,0,0,0,0,0,0,0,0,0,23,12
LiftingWireRope,23,23,23,23,0,0,0,0,0,0,0,0,0,0
SteelCable,22,19,0,0,0,0,22,19,0,0,0,0,0,0
TractionRodFlange,21,21,21,21,0,0,0,0,0,0,0,0,0,0
Pedal,20,20,20,20,0,0,0,0,0,0,0,0,0,0
PrimaryAxleBoxRod,20,20,20,20,0,0,0,0,0,0,0,0,0,0
CommonBrakeCylinder,14,14,14,14,0,0,0,0,0,0,0,0,0,0
FuelGauge,14,14,0,0,0,0,14,14,0,0,0,0,0,0
Boot,13,13,13,13,0,0,0,0,0,0,0,0,0,0
TractionMotorWire,13,13,13,13,0,0,0,0,0,0,0,0,0,0
IndicatorPatch,12,6,12,6,0,0,0,0,0,0,0,0,0,0
BrakePad_1,10,10,0,0,0,0,0,0,0,0,0,0,10,10
LockSpring_1,10,10,0,0,0,0,0,0,0,0,0,0,10,10
PhotoelectricSensor,9,9,9,9,0,0,0,0,0,0,0,0,0,0
WireRope,9,9,9,9,0,0,0,0,0,0,0,0,0,0
Nozzle_1,8,8,0,0,0,0,0,0,0,0,0,0,8,8
VehicleNumberRecognitionDevice,8,8,8,8,0,0,0,0,0,0,0,0,0,0
ParkingBrakeSign,7,7,7,7,0,0,0,0,0,0,0,0,0,0
FuelGauge_1,6,6,0,0,0,0,0,0,0,0,0,0,6,6
SandBoxBottom,6,6,6,6,0,0,0,0,0,0,0,0,0,0
IronSheet,4,2,0,0,0,0,4,2,0,0,0,0,0,0
StoneSweeper_1,4,4,0,0,0,0,0,0,0,0,0,0,4,4
VerticalStop,3,3,3,3,0,0,0,0,0,0,0,0,0,0
IronChain_1,2,2,0,0,0,0,0,0,0,0,0,0,2,2
Transform,2,2,2,2,0,0,0,0,0,0,0,0,0,0
